Fleet,Metier,Year,kw_days
BE_Beam_10<24m,TBB_CRU_27.7.d,2019,8717.22124
BE_Beam_10<24m,TBB_DEF_27.7.d,2009,1758610.759445
BE_Beam_10<24m,TBB_DEF_27.7.d,2010,2198143.082505
BE_Beam_10<24m,TBB_DEF_27.7.d,2011,2088276.99568
BE_Beam_10<24m,TBB_DEF_27.7.d,2012,1244683.0349
BE_Beam_10<24m,TBB_DEF_27.7.d,2013,1073503.525955
BE_Beam_10<24m,TBB_DEF_27.7.d,2014,1395575.022105
BE_Beam_10<24m,TBB_DEF_27.7.d,2015,1393836.173355
BE_Beam_10<24m,TBB_DEF_27.7.d,2016,1057122.50179
BE_Beam_10<24m,TBB_DEF_27.7.d,2017,942510.8581
BE_Beam_10<24m,TBB_DEF_27.7.d,2018,958256.252275
BE_Beam_10<24m,TBB_DEF_27.7.d,2019,1041171.316675
BE_Beam_10<24m,TBB_DEF_27.7.e,2009,2651.998232
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,11618.284704
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,15672.855064
BE_Beam_10<24m,TBB_DEF_27.7.e,2012,66201.775224
BE_Beam_10<24m,TBB_DEF_27.7.e,2013,12376
BE_Beam_10<24m,TBB_DEF_27.7.e,2014,4989.49932
BE_Beam_10<24m,TBB_DEF_27.7.e,2015,32613.806336
BE_Beam_10<24m,TBB_DEF_27.7.e,2016,5664.888496
BE_Beam_10<24m,TBB_DEF_27.7.e,2017,14016
BE_Beam_10<24m,TBB_DEF_27.7.e,2018,45650.884096
BE_Beam_10<24m,TBB_DEF_27.7.e,2019,24838.284704
BE_Beam_10<24m,TBB_DEF_27.7.f,2009,132237.608157
BE_Beam_10<24m,TBB_DEF_27.7.f,2010,79488
BE_Beam_10<24m,TBB_DEF_27.7.f,2011,286201.27719
BE_Beam_10<24m,TBB_DEF_27.7.f,2012,471733.99452
BE_Beam_10<24m,TBB_DEF_27.7.f,2013,220239
BE_Beam_10<24m,TBB_DEF_27.7.f,2014,224298
BE_Beam_10<24m,TBB_DEF_27.7.f,2015,115019.76393
BE_Beam_10<24m,TBB_DEF_27.7.f,2016,61216.998453
BE_Beam_10<24m,TBB_DEF_27.7.f,2017,86976
BE_Beam_10<24m,TBB_DEF_27.7.f,2018,100697.743539
BE_Beam_10<24m,TBB_DEF_27.7.f,2019,124867.927719
BE_Beam_10<24m,TBB_DEF_27.7.g,2009,48413.919312
BE_Beam_10<24m,TBB_DEF_27.7.g,2010,14586
BE_Beam_10<24m,TBB_DEF_27.7.g,2012,11990
BE_Beam_10<24m,TBB_DEF_27.7.g,2014,2431
BE_Beam_10<24m,TBB_DEF_27.7.g,2015,21879
BE_Beam_24<40m,TBB_DEF_27.7.d,2009,10069309.29091
BE_Beam_24<40m,TBB_DEF_27.7.d,2010,7768377.603955
BE_Beam_24<40m,TBB_DEF_27.7.d,2011,7607231.581495
BE_Beam_24<40m,TBB_DEF_27.7.d,2012,6527556.96465
BE_Beam_24<40m,TBB_DEF_27.7.d,2013,7365988.29728
BE_Beam_24<40m,TBB_DEF_27.7.d,2014,9776142.35567
BE_Beam_24<40m,TBB_DEF_27.7.d,2015,9305310.462045
BE_Beam_24<40m,TBB_DEF_27.7.d,2016,10096647.342375
BE_Beam_24<40m,TBB_DEF_27.7.d,2017,9987746.13604
BE_Beam_24<40m,TBB_DEF_27.7.d,2018,8977670.63864
BE_Beam_24<40m,TBB_DEF_27.7.d,2019,7412797.939635
BE_Beam_24<40m,TBB_DEF_27.7.e,2009,2271015.559608
BE_Beam_24<40m,TBB_DEF_27.7.e,2010,1941473.659528
BE_Beam_24<40m,TBB_DEF_27.7.e,2011,3150223.322496
BE_Beam_24<40m,TBB_DEF_27.7.e,2012,3466817.03744
BE_Beam_24<40m,TBB_DEF_27.7.e,2013,2274069.456752
BE_Beam_24<40m,TBB_DEF_27.7.e,2014,1129345.59964
BE_Beam_24<40m,TBB_DEF_27.7.e,2015,2267830.390936
BE_Beam_24<40m,TBB_DEF_27.7.e,2016,2395204.92868
BE_Beam_24<40m,TBB_DEF_27.7.e,2017,3456594.55184
BE_Beam_24<40m,TBB_DEF_27.7.e,2018,4625553.39568
BE_Beam_24<40m,TBB_DEF_27.7.e,2019,3376237.505992
BE_Beam_24<40m,TBB_DEF_27.7.f,2009,7450954.435521
BE_Beam_24<40m,TBB_DEF_27.7.f,2010,6786552.434958
BE_Beam_24<40m,TBB_DEF_27.7.f,2011,7352724.83292
BE_Beam_24<40m,TBB_DEF_27.7.f,2012,10107535.9599
BE_Beam_24<40m,TBB_DEF_27.7.f,2013,10522006.960968
BE_Beam_24<40m,TBB_DEF_27.7.f,2014,9749034.856251
BE_Beam_24<40m,TBB_DEF_27.7.f,2015,10291322.79117
BE_Beam_24<40m,TBB_DEF_27.7.f,2016,9671928.990408
BE_Beam_24<40m,TBB_DEF_27.7.f,2017,7372236.377187
BE_Beam_24<40m,TBB_DEF_27.7.f,2018,8500851.783387
BE_Beam_24<40m,TBB_DEF_27.7.f,2019,7648445.832921
BE_Beam_24<40m,TBB_DEF_27.7.g,2009,8882682.032675
BE_Beam_24<40m,TBB_DEF_27.7.g,2010,11953944.627559
BE_Beam_24<40m,TBB_DEF_27.7.g,2011,13295963.755932
BE_Beam_24<40m,TBB_DEF_27.7.g,2012,14635625.8147
BE_Beam_24<40m,TBB_DEF_27.7.g,2013,14866364.306717
BE_Beam_24<40m,TBB_DEF_27.7.g,2014,7330143.176202
BE_Beam_24<40m,TBB_DEF_27.7.g,2015,7447685.943203
BE_Beam_24<40m,TBB_DEF_27.7.g,2016,8925716.815301
BE_Beam_24<40m,TBB_DEF_27.7.g,2017,12701230.150499
BE_Beam_24<40m,TBB_DEF_27.7.g,2018,10474877.862779
BE_Beam_24<40m,TBB_DEF_27.7.g,2019,12139265.021829
BE_Beam_24<40m,TBB_DEF_27.7.h,2009,29559.51472
BE_Beam_24<40m,TBB_DEF_27.7.h,2010,211063.753448
BE_Beam_24<40m,TBB_DEF_27.7.h,2011,69190.463632
BE_Beam_24<40m,TBB_DEF_27.7.h,2012,97567.189824
BE_Beam_24<40m,TBB_DEF_27.7.h,2013,25908.004368
BE_Beam_24<40m,TBB_DEF_27.7.h,2014,224794.733088
BE_Beam_24<40m,TBB_DEF_27.7.h,2015,554358.255016
BE_Beam_24<40m,TBB_DEF_27.7.h,2016,828588.918024
BE_Beam_24<40m,TBB_DEF_27.7.h,2017,992850.481528
BE_Beam_24<40m,TBB_DEF_27.7.h,2018,1369279.214624
BE_Beam_24<40m,TBB_DEF_27.7.h,2019,1793869.408448
BE_Beam_24<40m,TBB_DEF_27.7.j,2017,36007.27428
BE_Beam_24<40m,TBB_DEF_27.7.j,2018,30613.61454
BE_Beam_24<40m,TBB_DEF_27.7.j,2019,6299.9964
BE_Other_10<24m,MIS_MIS_27.7.d,2009,95265
BE_Other_10<24m,MIS_MIS_27.7.d,2010,93075
BE_Other_10<24m,MIS_MIS_27.7.d,2011,132495
BE_Other_10<24m,MIS_MIS_27.7.d,2012,96360
BE_Other_10<24m,MIS_MIS_27.7.d,2013,120450
BE_Other_10<24m,MIS_MIS_27.7.d,2014,168810
BE_Other_10<24m,MIS_MIS_27.7.d,2015,79935
BE_Other_10<24m,MIS_MIS_27.7.d,2016,137970
BE_Other_10<24m,MIS_MIS_27.7.d,2017,87600
BE_Other_10<24m,MIS_MIS_27.7.d,2018,74460
BE_Other_10<24m,MIS_MIS_27.7.d,2019,75555
BE_Other_10<24m,MIS_MIS_27.7.e,2012,3504
BE_Other_10<24m,MIS_MIS_27.7.e,2013,3504
BE_Other_24<40m,MIS_MIS_27.7.d,2009,476750
BE_Other_24<40m,MIS_MIS_27.7.d,2010,297900
BE_Other_24<40m,MIS_MIS_27.7.d,2011,99300
BE_Other_24<40m,MIS_MIS_27.7.d,2012,43030
BE_Other_24<40m,MIS_MIS_27.7.d,2013,135815
BE_Other_24<40m,MIS_MIS_27.7.d,2014,691264.994095
BE_Other_24<40m,MIS_MIS_27.7.d,2015,419255
BE_Other_24<40m,MIS_MIS_27.7.d,2016,484209.994095
BE_Other_24<40m,MIS_MIS_27.7.d,2017,496020
BE_Other_24<40m,MIS_MIS_27.7.d,2018,377920
BE_Other_24<40m,MIS_MIS_27.7.e,2009,561376
BE_Other_24<40m,MIS_MIS_27.7.e,2010,439567.994704
BE_Other_24<40m,MIS_MIS_27.7.e,2011,185360
